Date-Time,Module ID,Section ID,Prompt Tokens,Completion Tokens,Total Tokens,Start Date-Time,End Date-Time,Duration (s),Input Script,Output Slides,Error Message
4/4/2023 11:24,1,1,6666,123,6789,4/4/2023 11:24,4/4/2023 11:24,18.128177,"---
course: Intro to Data for Data Science
module: 1 - Introduction
title: 1 - Introduction

---

Hi. I'm Matthew Renze, data science consultant, author, and public speaker.
Welcome to this introductory course on data for data science.
In this course, we'll learn about data as a foundation for data science.
We'll learn what data is, why it's important, and how it is used within data science.
In addition, we'll learn about data types, data structures, tabular data, and the data life cycle, all from the perspective of data science.
But first, let's begin with a quick story.","---
marp: true
title: 1 - Introduction
theme: template
---

<!-- _class: title-slide -->

# Intro to Data for Data Science

---

<!-- _class: title-only -->

# Welcome

Matthew Renze
Data Science Consultant
Author, Public Speaker

---

<!-- _class: title-two-content-left-center -->

# Course Overview

Data
Importance
Data Types
Data Structures
Tabular Data
Data Life Cycle

![image An icon of a database in a flat minimalist style](images/placeholder.png)

---

<!-- _class: title-only -->

# A Quick Story

---",
4/4/2023 11:25,1,2,7195,350,7545,4/4/2023 11:24,4/4/2023 11:25,49.565093,"---
course: Intro to Data for Data Science
module: 1 - Introduction
title: 2 - The Rise of Data

---

Data... a collection of symbols representing the quality or quantity of a physical phenomenon.

---

Humans have likely been using data for as long as we've been counting on our fingers.

---

We have evidence of humans carving notches into wood, bone, and stone to count days, lunar cycles, and animals for at least the past forty-thousand years.

---

A few millennia ago, the Sumerians, Egyptians, and Chinese were recording written counts of items, animals, people, and astronomical observations.

---

They recorded these data using clay tablets, papyrus, and parchment, using early writing systems like cuneiform, hieroglyphics, and logographs.

---

A few centuries ago, data were collected by governments for census and taxation, or by businesses for accounting, inventory, and transactions.

---

Data at this point in history were recorded largely using quill pens in paper ledgers.

---

In the 1800s, mechanical computers radically sped up data processing and ushered in a new area of data analysis.

---

For example, the 1880 US census took over 7 years to process and analyze without a computer.

---

However, the 1890 US census, took only 18 months thanks to Herman Hollerith's punch-card-based ""Tabulating Machine"".

---

In the 1900s, electrical computers dramatically increased both data storage and processing capabilities.

---

By the mid-1900s, digital computers allowed us to store and analyze data as bits of information encoded as ones and zeros.

---

In the 1980s, the emergence of relational databases allowed us to efficiently store and process transactional data.

---

We also saw the emergence of programming languages like structured query language which allow us to rapidly query and analyze data.

---

In the 1990s, data warehouses, data marts, and data cubes were used to store and analyze ever-larger growing sets of data.

---

We also saw the emergence of data mining to allow us to discover patterns of interest in large data sets.

---

In the 2000s, big-data platforms emerged to handle very large data sets by spreading data and processing across several computers in a cluster.

---

We also saw the rise of machine learning - training computer algorithms on large sets of data to classify new data and make predictions.

---

In the 2010s, cloud-scale distributed computing platforms emerged to handle storing and processing of data across thousands of computers in a data center.

---

This decade also ushered in the era of deep learning - training deep neural networks on very large data sets to classify and predict much more complex patterns of data.

---

As we move into 2020s, the explosion of data from the internet of things is leading to a need for new methods to store and process data.

---

In addition, the demand for modern data analysis has made data science one of the most in-demand professions of the 21st century.

---

In the next decade and beyond, the field of data science will continue to grow and will likely evolve into data-driven artificial intelligence.

A new era of data that will almost certainly change our world in more ways than we could possibly imagine.","---
marp: true
title: 2 - The Rise of Data
theme: template
---

<!-- _class: title-only -->

# The Rise of Data

---

<!-- _class: one-pane -->

![bg contain A photo of five closeup hands counting the numbers one, two, three, four, and five with their fingers.](images/placeholder.png)

---

<!-- _class: one-pane -->

![bg contain A photo of tally marks in ishango bone from the Museum of Natural Sciences in Brussels, Belgium](images/placeholder.png)

<!-- _footer: Source: Museum of Natural Sciences in Brussels, Belgium -->

---

<!-- _class: one-pane -->

![bg contain Babylonian cuneiform and their corresponding arabic numerals from 1 to 60 organized into rows and columns](images/placeholder.png)

<!-- _footer: Source: Wikipedia: Babylonian Numerals -->

---

<!-- _class: one-pane -->

![bg contain A photo of a quill pen and an open paper ledger](images/placeholder.png)

---

<!-- _class: one-pane -->

![bg contain A photo of Herman Hollerith's punch-card-based ""Tabulating Machine""](images/placeholder.png)

<!-- _footer: Source: Wikipedia: Hollerith Tabulating Machine -->

---

<!-- _class: one-pane -->

![bg contain A photo of an early digital computer with vacuum tubes](images/placeholder.png)

---

<!-- _class: one-pane -->

![bg contain A photo of a relational database schema diagram](images/placeholder.png)

---

<!-- _class: one-pane -->

![bg contain A photo of a data warehouse architecture diagram](images/placeholder.png)

---

<!-- _class: one-pane -->

![bg contain A photo of a big-data",
4/4/2023 11:25,1,3,6973,163,7136,4/4/2023 11:25,4/4/2023 11:25,22.629264,"---
course: Intro to Data for Data Science
module: 1 - Introduction
title: 3 - Overview

---



---

The purpose of this course is to learn about data as a foundation for data science.

It might seem obvious, but half of data science is data, so as you can imagine, it's really important to have a thorough understanding of data to be successful with data science. 

This course was designed to provide you with that foundational knowledge.

---

As an overview of this course:

First, we'll learn about data. 

We'll learn what it is, and why it's important for data science.

Next we'll learn about the various types of data we encounter in data science, including categorical and numerical data.

Then we'll learn about data types, and how we represent and store various kinds of data in a computer.

Next, we'll learn about data structures, and how providing structure to data gives it additional context and meaning.

Then, we'll learn about tabular data, tables of data organized into rows and columns that allow us to perform queries.

Finally, we'll learn about the data life cycle.

We'll learn about the journey of data as we move from raw data to actionable insight.

---

There are no prerequisites for this course.

We will assume you are new to data, data science, and computer programming throughout this entire course.

In addition, you won't need to install any software on your computer to complete this course.

We'll keep everything in this course as simple and easy to understand as possible.

---

All of the content for this course can be found at the following URL.

This includes videos, slides, quizzes, exercises, and more.

If you haven't already done so, please visit this webpage now and bookmark it for future reference.

---

By the end of this course, you will understand data in the context of data science.

You'll understand data types, data structures, tabular data, and the data life cycle.

This foundational knowledge will help you to understand all of the concepts in the remaining courses in this series on data science.

Alright. We've got a lot to cover in this course -- so let's get started!","---
marp: true
title: 3 - Overview
theme: template
---

<!-- _class: title-slide -->

# Introduction

---

<!-- _class: title-only -->

# Purpose

---

<!-- _class: title-two-content-left-center -->

# Overview

Data
Types of Data
Data Types
Data Structures
Tabular Data
Data Life Cycle

![image An icon of a database in a flat minimalist style](images/placeholder.png)

---

<!-- _class: title-one-content -->

# Prerequisites

No prerequisite courses
No required software

---

<!-- _class: title-one-content -->

# Website

http://matthewrenze.com/courses/intro-to-data

---

<!-- _class: title-one-content -->

# Learning Outcome

You will understand data 
in the context of data science
",
4/4/2023 11:26,2,1,6774,83,6857,4/4/2023 11:25,4/4/2023 11:26,11.365121,"---
course: Intro to Data for Data Science
module: 2 - Data
title: 1 - Overview

---

Hello again. 

And welcome back to this introductory course on data for data science.

I'm Matthew Renze - data science consultant, author, and public speaker.

In this module, we'll learn about data.

We'll learn what it is, and why it's important for data science.

---

What is data?

... or technically, the more grammatically correct question is, ...

---

... ""what *are* data?""

More importantly, what is the purpose of data?

And why is it important or useful to us in data science?

---

To answer these questions, we're going to learn about data and how it is used in data science.

First, we'll learn about data... what it is, and why it's important.

Next, we'll learn about information and how we can extract information from data.

Then, we'll learn about knowledge and how we can create knowledge from information.

Next, we'll learn about the purpose of data and how it leads to intelligent decision making.

Finally, we'll learn about the process of transforming raw data into actionable insight.","---
marp: true
title: 1 - Overview
theme: template
---

<!-- _class: title-slide -->

# Data

---

<!-- _class: title-only -->

# What is data?

---

<!-- _class: title-two-content-left-center -->

# Overview

Data
Information
Knowledge
Purpose
Process

![image An icon of a database in a flat minimalist style](images/placeholder.png)",
4/4/2023 11:26,2,2,6930,184,7114,4/4/2023 11:26,4/4/2023 11:26,24.212462,"---
course: Intro to Data for Data Science
module: 2 - Data
title: 2 - Data

---

When we think of data we might imagine:

 - a bunch of ones-and-zeros sitting inside of a computer, 

 - the stats from our favorite sports team, 

 - or the medical records at our local hospital.

But what exactly are data?

---

Data are a collection of symbols that describe observations of the world around us.

They record facts about the natural world that we live in.

These include descriptions of the qualities of things in our world, for example, colors, shapes, and textures.

In addition, they include measurements of quantities of things in our world, for example: size, weight, and velocity.

---

Data are represented using symbols.

This includes representing qualities of things using words, for example, the color of an apple is red.

In addition, this includes representing quantities of things using numbers, for example, the apple has a mass of 100 grams.

---

Imagine we're feeling sick and we go to see our doctor.

Our doctor takes a measurement of our body temperature using a thermometer.

The thermometer reads 39 degrees Celsius

which is 102 degrees Fahrenheit -- for those of us who've yet to switch to the metric system

Based on this temperature, it's clear that we're running a fever.

---

This temperature value of 39 degrees Celsius is what we refer to as a ""datum"" (i.e. a single piece of data).

The word ""data"" is actually the plural form of the word ""datum"".

So when we have more than one ""datum"", we have ""data"".

However, most people now use the term ""data"" in both the singular and plural form, interchangeably.

The term ""datum"" is now rarely, if ever, used.

Data can be used to create information.

However, in order to create information, we first need to organize, analyze, and interpret the data.","---
marp: true
title: 2 - Data
theme: template
---

<!-- _class: title-only -->

# Data

---

<!-- _class: title-two-content-left-center -->

# Data

Describe observations
Qualities
Quantities

![image An icon of a database in a flat minimalist style](images/placeholder.png)

---

<!-- _class: title-two-content-left-center -->

# Data

Represented as symbols
Qualities using words
Quantities using numbers

![image An icon of a database in a minimalist style](images/placeholder.png)

---

<!-- _class: one-pane -->

![bg contain A photo of a doctor holding a thermometer](images/placeholder.png)

---

<!-- _class: title-two-content-left-center -->

# Data

Datum (singular)
Data (plural)
Used to create information

![image An icon of a database in a minimalist style](images/placeholder.png)",
4/4/2023 11:26,2,3,6797,214,7011,4/4/2023 11:26,4/4/2023 11:26,27.888736,"---
course: Intro to Data for Data Science
module: 2 - Data
title: 3 - Information

---

Information is everywhere.

We have information on the menus at our restaurants, in the books in our libraries, and on street signs while we're driving.

But what exactly is information in the context of data science?

---

Information is something that reduces uncertainty about our world.

It is the answer to questions like who, what, where, how many, or how much.

Essentially, information provides clarity about the world we live in.

---

Information is created from data.

We create information by organizing, analyzing, and interpreting data.

Organizing, analyzing, and interpreting data gives it context and meaning.

This additional context and meaning is essentially what distinguishes data from information.

---

For example, imagine that our doctor has a recorded a history of our normal body temperature over the past few years.

They analyze the historical data and computes that our average (or normal) body temperature is 37°C.

This average temperature of 37°C is what we call information.

---

Information is more meaningful than the individual data points that were used to create it.

This makes information quite useful on it's own.

However, information can also be used to create something more powerful -- it can be used to create knowledge.","---
marp: true
title: 3 - Information
theme: template
---

<!-- _class: title-only -->

# Information

---

<!-- _class: title-two-content-left-center -->

# Information

Reduces uncertainty
Answers questions
Provides clarity

![image An icon of a magnifying glass with a question mark inside the lens, in a minimalist style](images/placeholder.png)

---

<!-- _class: title-two-content-left-center -->

# Information

Created from data
Organizing
Analyzing
Interpreting

![image An icon of a database with an arrow pointing to a document, in a minimalist style](images/placeholder.png)

---

<!-- _class: one-pane -->

![bg contain A photo of a doctor holding a clipboard with a patient's medical history](images/placeholder.png)

---

<!-- _class: title-two-content-left-center -->

# Information

More meaningful
Useful on its own
Creates knowledge

![image An icon of a lightbulb with a checkmark inside, in a minimalist style](images/placeholder.png)
",
4/4/2023 11:27,2,4,6919,208,7127,4/4/2023 11:26,4/4/2023 11:27,26.760285,"---
course: Intro to Data for Data Science
module: 2 - Data
title: 4 - Knowledge

---

Sir Francis Bacon famously said that ""knowledge is power"";

But what makes knowledge so powerful?

And what exactly is knowledge in the first place?

---

Knowledge is a theoretical or practical understanding of the natural world around us.

It explains the observations that we see and why things behave the way they do.

In addition, it allows us to predict the behavior of phenomena in our world.

Both of which, are quite beneficial to our survival and our ability to thrive in the world.

---

Knowledge is created from information.

It is essentially a collection of information that has been organized to provide a consistent and cohesive understanding of a specific topic.

From a more pragmatic standpoint, knowledge is used to solve problems within a specific domain.

Knowledge allows us to make decisions so that we can take an action that leads us to a goal of some kind.

---

For example, imagine that our doctor knows that when a person's body temperature rises to 39°C, that they are likely fighting an infection.

This relationship between an increase in body temperature and the presence of an infection is what we refer to as knowledge.

In the case of our example, our doctor would use this knowledge to decide that we are most likely fighting an infection. 

As a result of this knowledge, they would likely take the action of recommending that we get plenty of rest, drink lots of fluids, and potentially get further testing if necessary.

---

Knowledge alone isn't enough to solve problems.

In order to solve real-world problems, we need to use knowledge in combination with new information.

It's this combination of existing knowledge and new information that leads to a solution to a problem.

For example, our doctor used a combination of their existing medical knowledge and new information about our current body temperature to decide that we were likely fighting an infection and recommend a course of treatment.","---
marp: true
title: 4 - Knowledge
theme: template
---

<!-- _class: title-only -->

# Knowledge

---

<!-- _class: title-two-content-left-center -->

# Knowledge

Understanding
Explain observations
Predict behavior

![image An icon of a lightbulb with rays of light emanating from it in a flat minimalist style](images/placeholder.png)

---

<!-- _class: title-two-content-left-center -->

# Knowledge

Created from information
Solve problems
Make decisions

![image An icon of a stack of books with a graduation cap on top in a flat minimalist style](images/placeholder.png)

---

<!-- _class: one-pane -->

![bg contain A photo of a doctor holding a clipboard and talking to a patient](images/placeholder.png)

---

<!-- _class: title-two-content-left-center -->

# Knowledge

Combination of:
Existing knowledge
New information

![image An icon of a puzzle piece connected to another puzzle piece in a flat minimalist style](images/placeholder.png)",
4/4/2023 11:27,2,5,6810,154,6964,4/4/2023 11:27,4/4/2023 11:27,22.233695,"---
course: Intro to Data for Data Science
module: 2 - Data
title: 5 - Purpose

---

What is the purpose of collecting data, creating information, and acquiring knowledge?

Essentially, what makes data so important in data science?

---

Data, on it's own, is useless. 

However, it can be a stepping stone to achieve a goal or an objective of some kind.

In order to achieve our goal we need to transform data into something that is actionable.

We need to transform our data into actionable insight.

---

We do this through the following process:

First, we collect data by observing the world and recording our observations.

Next, we organize, analyze, and interpret our data to create information.

Then, we combine this information with other information to create knowledge.

Next, we use this knowledge and new information to make an informed decision about which action to take.

Then, we can take action with the confidence that we have increased the likelihood of achieving our goal.

---

In data science, we refer to this process as ""transforming data into actionable insight"".

In the world of business, this is often referred to as ""data-driven decision making"".

In our daily lives, we simply refer to this process as ""intelligence"" -- the use of knowledge and new information to make rational decisions about actions that will maximize our chances of achieving a goal.","---
marp: true
title: 5 - Purpose
theme: template
---

<!-- _class: title-only -->

# Purpose

---

<!-- _class: title-one-content -->

# Purpose of Data

Achieve a goal
Transform data into actionable insight

---

<!-- _class: title-two-content-left-center -->

# Process

Collect data
Create information
Acquire knowledge
Make decisions
Take action

![image An icon of a database in a flat minimalist style](images/placeholder.png)

---

<!-- _class: title-one-content -->

# Data Science

Transforming data into actionable insight

---

<!-- _class: title-one-content -->

# Business

Data-driven decision making

---

<!-- _class: title-one-content -->

# Daily Life

Intelligence
",
4/4/2023 11:28,2,6,7031,350,7381,4/4/2023 11:27,4/4/2023 11:28,45.878497,"---
course: Intro to Data for Data Science
module: 2 - Data
title: 6 - Process

---

Let's take a look at a simple example of intelligent data-driven decision making in action.

---

Imagine that we're an investor.

We're considering making an investment in apples -- the edible kind -- not the iPod kind.

Our goal, obviously, is to make a profit.

However, we want to make our investment using a data-driven decision-making process.

---

First, we learn that the price of apples has been holding steady for the past year at $2 per kilogram (which is about $2 for 6 apples).

We create data when we observe and record the current price of apples at $2 per kilogram.

---

Next we learn that the price of apples has risen this month from $2 per kilogram to $3 per kilogram.

This price increase was caused by a rapid, unexpected increase in consumer demand.

We create information when we analyze the historical price data and discover the $1 increase in the price of apples this month.

---

Then, from many years of observation, we've learned that when the price of apples goes up by $1 per kilogram, then price of apple cider will likely rise by $1.50 per liter in the following month.

We acquired knowledge when we learned about the relationship between an increase in the price of apples and an increase in the price of apple cider.

---

Next, based on our existing knowledge and the new information about the price increase, we make a decision.

We decide it would be smart to invest in apple cider now, before the price of apple cider rises by an extra $1.50 per liter next month.

---

Then, based on our decision, we take action.

We invest in apple cider on the commodities market at it's current (discounted) price, in anticipation of an increase in price, and thus an increase in the value of our investment.

---

Finally, if everything worked out in our favor, and the price of apple cider rises as predicted, we will have achieved our goal of capturing a profit on our investment.

However, achieving our goal is entirely dependent upon having correct data, information, knowledge, decisions, actions -- and the apple-cider market working in our favor! : )

While this has been an overly simplified example of how data-driven decision making works, hopefully it helped to demonstrate to you how we use data to achieve a goal with data science.","---
marp: true
title: 6 - Process
theme: template
---

<!-- _class: title-only -->

# Data-Driven Decision Making

---

<!-- _class: title-two-content-left-center -->

# Example

Investor
Apples
Goal: Profit

![image An icon of a stack of coins with an upward arrow indicating an increase in value, in a minimalist style](images/placeholder.png)

---

<!-- _class: title-two-content-left-center -->

# Data

Price of apples
$2 per kilogram

![image An icon of a price tag with the number ""2"" on it, in a minimalist style](images/placeholder.png)

---

<!-- _class: title-two-content-left-center -->

# Information

Price increase
$1 per kilogram

![image An icon of an upward arrow with the number ""1"" on it, in a minimalist style](images/placeholder.png)

---

<!-- _class: title-two-content-left-center -->

# Knowledge

Price relationship
Apple cider

![image An icon of a glass of apple cider, in a minimalist style](images/placeholder.png)

---

<!-- _class: title-two-content-left-center -->

# Decision

Invest in apple cider

![image An icon of a check mark inside a circle, in a minimalist style](images/placeholder.png)

---

<!-- _class: title-two-content-left-center -->

# Action

Invest in commodities market

![image An icon of a hand holding a stack of coins, in a minimalist style](images/placeholder.png)

---

<!-- _class: title-two-content-left-center -->

# Goal

Capture profit

![image An icon of a stack of coins with an upward arrow indicating an increase in value, in a minimalist style",
4/4/2023 11:28,2,7,6734,69,6803,4/4/2023 11:28,4/4/2023 11:28,9.190263,"---
course: Intro to Data for Data Science
module: 2 - Data
title: 7 - Summary

---

In this module we learned about data. 
We learned what it is and why it's important.

---

First, we learned that data are raw and unorganized facts created from recording observations of the world around us.

Next, we learned that information is data that has been organized, analyzed, and interpreted to provide it with additional context and meaning.

Then, we learned that knowledge is a collection of information that can be used to solve problems in a specific domain.

Next, we learned that the purpose of data is to make intelligent, rational decisions that lead to actions that achieve a goal of some kind.

Finally, we learned that the data-driven decision-making process involves transforming data, into information, into knowledge, to a decision, and finally, to an action that achieves a goal.

In the next module, we're learn about data types and how data are stored in computer systems.","---
marp: true
title: 7 - Summary
theme: template
---

<!-- _class: title-only -->

# Summary

---

<!-- _class: title-two-content-left -->

# Summary

Data
Information
Knowledge
Purpose
Process

![image An icon of a database in a flat minimalist style](images/placeholder.png)",
